Symbol	Name	Price
BPTH	Bio-Path Holdings	4.32
BPY	Brookfield Property Partners	17.08
BPYU	Brookfield Property REIT	17.47
BQ	Boqii Holding	10.78
BR	Broadridge Financial Solutions	146.07
BRBR	Bellring Brands	23.93
BRBS	Blue Ridge Bankshares	19.69
BRC	Brady Corporation	45.83
BREZ	Breeze Holdings Acquisition	10.6
BRFS	BRF S.A.	3.91
BRG	Bluerock Residential Growth REIT	10.4
BRID	Bridgford Foods	16.56
BRK.A	Berkshire Hathaway	346175
BRK.B	Berkshire Hathaway	229.32
BRKL	Brookline Bancorp	12.74
BRKR	Bruker	58.04
BRKS	Brooks Automation	79.84
BRLI	Brilliant Acquisition	10.08
BRMK	Broadmark Realty Capital	10.29
BRN	Barnwell Industries	3.14
BRO	Brown & Brown	42.96
BROG	Brooge Energy	10.89
BRP	BRP Group	23.6
BRPA	Big Rock Partners Acquisition	58.85
BRQS	Borqs Technologies	1.43
BRT	BRT Apartments	14.65
BRX	Brixmor Property Group	17.16
BRY	Berry Corporation	4.08
BSAC	Banco Santander-Chile	20.81
BSBK	Bogota Financial	9.06
BSBR	Banco Santander Brasil	7.46
BSET	Bassett Furniture Industries	19.76
BSFC	Blue Star Foods	2.15
BSGM	BioSig Technologies	4.49
BSIG	BrightSphere Investment Group	19.09
BSM	Black Stone Minerals	8.76
BSMX	Banco Santander Mexico	5.11
BSN	Broadstone Acquisition	10.22
BSQR	Bsquare Corporation	1.62
BSRC	BioSolar	0.11
BSRR	Sierra Bancorp	21.49
BSTG	Biostage	1.93
BSVN	Bank7 Corp.	15.39
BSX	Boston Scientific	35.95
BSY	Bentley Systems	42.65
BTAI	BioXcel Therapeutics	51.72
BTAQ	Burgundy Technology Acquisition	11.31
BTBT	Bit Digital	18.22
BTCY	Biotricity	1.21
BTE	Baytex Energy	0.8
BTG	B2Gold	5.01
BTHE	Boston Therapeutics	0.04
BTI	British American Tobacco	36.66
BTN	Ballantyne Strong	2.06
BTU	Peabody Energy	4.03
BTWN	Bridgetown Holdings	13.88
BTZI	BOTS, Inc.	0.05
BUD	Anheuser-Busch InBev	63.88
BUR	Burford Capital	8.76
BURL	Burlington Stores	248.33
BUSE	First Busey	21.12
BV	BrightView Holdings	14.51
BVH	Bluegreen Vacations	14.52
BVN	Compania de Minas Buenaventura	11.5
BVXV	BiondVax Pharmaceuticals	4.81
BW	Babcock & Wilcox Enterprises	5.86
BWA	BorgWarner	42.08
BWAC	Better World Acquisition	10.3
BWAY	Brainsway	7.99
BWB	Bridgewater Bancshares	13.6
BWEN	Broadwind Energy	9.68
BWFG	Bankwell Financial Group	19.27
BWL.A	Bowl America	10.13
BWMX	Betterware de Mexico	37.99
BWXT	BWX Technologies	54.94
BX	Blackstone Group	69.33
BXC	BlueLinx Holdings	37.09
BXG	Bluegreen Vacations	7.64
BXMT	Blackstone Mortgage Trust	27.36
BXP	Boston Properties	90.23
BXRX	Baudax Bio	1.32
BXS	BancorpSouth Bank	28.16
BY	Byline Bancorp	16.54
BYD	Boyd Gaming	46.11
BYFC	Broadway Financial	2.12
BYND	Beyond Meat	177.97
BYSI	BeyondSpring	12.48
BZH	Beazer Homes USA	17.06
BZUN	Baozun	41.05
C	Citigroup	58.43
CAAP	Corporacion America Airports	4.05
CAAS	China Automotive Systems	6.3
CABA	Cabaletta Bio	12.75
CABO	Cable One	2015.24
CAC	Camden National	37.76
CACC	Credit Acceptance	370.49
CACH	Cache, Inc	0.01
CACI	CACI International	239.31
CADE	Cadence Bancorporation	18.49
CADNF	Cascades	12.02
CAE	CAE Inc.	23.27
CAG	Conagra Brands	34.2
CAH	Cardinal Health	54.48
CAI	CAI International	32.48
CAJ	Canon	22.69
CAKE	Cheesecake Factory	44.96
CAL	Caleres	14.92
CALA	Calithera Biosciences	2.92
CALB	California BanCorp	12.78
CALM	Cal-Maine Foods	38.17
CALT	Calliditas Therapeutics	28.2
CALX	Calix, Inc.	31.79
CAMP	CalAmp	10.64
CAMT	Camtek	24.8
CAN	Canaan	4.88
CANB	Can B Corp	0.52
CANF	Can-Fite BioPharma	1.98
CANG	Cango Inc.	15.74
CAOVY	China Overseas Land & Investment	11.36
CAP	Capitol Investment V	10.11
CAPA	HighCape Capital Acquisition	10.5
CAPL	CrossAmerica Partners	18.24
CAPR	Capricor Therapeutics	6.6
CAR	Avis Budget Group	42.47
CARA	Cara Therapeutics	18.69
CARE	Carter Bankshares	10.14
CARG	Cargurus	30.72
CARR	Carrier Global	38.66
CARS	Cars.com	12.19
CARV	Carver Bancorp	8.38
CAS	Cascade Acquisition	10.19
CASA	Casa Systems	7.9
CASH	Meta Financial Group	39.55
CASI	CASI Pharmaceuticals	3.47
CASS	Cass Information Systems	41.11
CASY	Casey''s General Stores	185.21
CAT	Caterpillar	184.72
CATB	Catabasis Pharmaceuticals	3.64
CATC	Cambridge Bancorp	73.39
CATM	Cardtronics	38.79
CATO	Cato Corporation	10.93
CATY	Cathay General Bancorp	34.58
CB	Chubb	148.04
CBAN	Colony Bankcorp	13.84
CBAT	CBAK Energy Technology	7.17
CBAY	CymaBay Therapeutics	5.65
CBB	Cincinnati Bell	15.24
CBD	Companhia Brasileira de Distribuicao	14.45
CBDS	Cannabis Sativa	0.78
CBFV	CB Financial Services	18.72
CBIO	Catalyst Biosciences	5.81
CBKC	Christopher & Banks	0.0
CBL	CBL Properties	0.81
CBLAQ	CBL Properties	0.1
CBLI	Cleveland BioLabs	4.73
CBMB	CBM Bancorp	14.28
CBMG	Cellular Biomedicine Group	19.66
CBNK	Capital Bancorp	14.8
CBOE	Cboe Global Markets	94.95
CBPO	China Biologic Products	118.35
CBRE	CBRE Group	63.7
CBRI	CMTSU Liquidation	0.01
CBRL	Cracker Barrel	138.21
CBSH	Commerce Bancshares	67.91
CBT	Cabot Corporation	46.17
CBTX	CBTX, Inc.	25.76
CBU	Community Bank System	65.98
CBWTF	Auxly Cannabis Group	0.24
CBZ	CBIZ, Inc.	26.3
CC	Chemours Company	26.76
CCAC	CITIC Capital Acquisition	10.8
CCAP	Crescent Capital BDC	16.1
CCB	Coastal Financial	20.46
CCBC	Chino Commercial Bancorp	12.15
CCBG	Capital City Bank Group	22.9
CCC	Clarivate	27.34
CCCC	C4 Therapeutics	38.05
CCCL	China Ceramics	0.35
CCEL	Cryo-Cell International	8.11
CCEP	Coca-Cola European Partners	48.04
CCF	Chase Corporation	104.04
CCH	Collier Creek Holdings	2190
CCI	Crown Castle	164.27
CCIHY	ChinaCache International	0.06
CCIV	Churchill Capital Corp. IV	25.2
CCJ	Cameco	14.63
CCK	Crown Holdings	91.82
CCL	Carnival	18.8
CCLP	CSI Compressco	1.2
CCM	Concord Medical Services	3.74
CCMP	CMC Materials	155.92
CCNC	Code Chain New Continent	2.37
CCNE	CNB Financial	20.84
CCO	Clear Channel Outdoor	2
CCOI	Cogent Communications Holdings	58.02
CCR	CONSOL Coal Resources	0.07
CCRC	China Customer Relations Centers	4.12
CCRN	Cross Country Healthcare	9.14
CCS	Century Communities	47.61
CCU	Cia Cervecerias Unidas	16.91
CCUR	CCUR Holdings	2.85
CCV	Churchill Capital V	0.25
CCX	Churchill Capital Corp II	10.3
CCXI	ChemoCentryx	58.3
CD	Chindata Group	17.14
CDAK	Codiak BioSciences	24.53
CDAY	Ceridian HCM Holding	96.12
CDE	Coeur Mining	11.14
CDEV	Centennial Resource Development	2.7
CDK	CDK Global	51.67
CDLX	Cardlytics	124.03
CDMO	Avid Bioservices	16.56
CDNA	CareDx	80.24
CDNS	Cadence Design Systems	134.4
CDOR	Condor Hospitality Trust	4.8
CDR	Cedar Realty Trust	10.56
CDTI	CDTi Advanced Materials	0.5
CDTX	Cidara Therapeutics	2.59
CDW	CDW Corporation	138.16
CDXC	ChromaDex	4.79
CDXI	Cardax	1.77
CDXS	Codexis	23.91
CDZI	Cadiz, Inc.	11.17
CE	Celanese	122.67
CEA	China Eastern Airlines	20.44
CECE	CECO Environmental	7.2
CEI	Camber Energy	1.41
CEIX	CONSOL Energy	8.79
CEL	Cellcom Israel	3.83
CELC	Celcuity	14.95
CELH	Celsius Holdings	55.9
CELP	Cypress Environmental Partners	2.76
CEMI	Chembio Diagnostics	7.15
CENT	Central Garden & Pet	42.58
CENTA	Central Garden & Pet	38.9
CENX	Century Aluminum	9.83
CEO	CNOOC Limited	100.58
CEPU	Central Puerto	2.36
CEQP	Crestwood Equity Partners	20.7
CERC	Cerecor	3.15
CERE	Cerevel Therapeutics	12.62
CERN	Cerner	80.09
CERS	Cerus	6.76
CERT	Certara	34.99
CETX	Cemtrex	1.78
CEVA	CEVA, Inc.	60.41
CF	CF Industries	42.97
CFB	CrossFirst Bankshares	11.65
CFBI	Community First Bancshares	0.0
CFBK	Central Federal	17
CFFI	C&F Financial	39.26
CFFN	Capitol Federal Financial	12.43
CFG	Citizens Financial Group	37.21
CFII	CF Finance Acquisition II	11.02
CFMS	Conformis	1
CFR	Cullen/Frost Bankers	92.78
CFRX	ContraFect	5.01
CFX	Colfax Corporation	38.38
CG	The Carlyle Group	32.71
CGA	China Green Agriculture	5.31
CGBD	TCG BDC, Inc.	10.91
CGC	Canopy Growth	40.06
CGEN	Compugen	13.04
CGIX	Cancer Genetics	3.74
CGNX	Cognex	83.59
CGRO	Collective Growth	13.25
CHA	China Telecom	0
CHAQ	Chardan Healthcare Acquisition 2	10.6
CHCI	Comstock Holding Companies	3.42
CHCO	City Holding Company	69.86
CHCR	Advanzeon Solutions	0.11
CHCT	Community Healthcare Trust	45.74
CHD	Church & Dwight	83.99
CHDN	Churchill Downs	196.36
CHE	Chemed	518.98
CHEF	The Chefs'' Warehouse	27.05
CHEK	Check-Cap	1.55
CHFS	CHF Solutions	8.48
CHGCY	Chugai Pharmaceutical	26.17
CHGG	Chegg, Inc.	95.81
CHH	Choice Hotels International	100.85
CHK	Chesapeake Energy	0.04
CHKAQ	Chesapeake Energy	4.68
CHKP	Check Point Software	132.74
CHL	China Mobile	0
CHMA	Chiasma	3.97
CHMG	Chemung Financial	34.07
CHMI	Cherry Hill Mortgage Investment	8.81
CHNG	Change Healthcare	23.83
CHNR	China Natural Resources	1.77
CHPM	CHP Merger	10.38
CHRA	Charah Solutions	3.35
CHRS	Coherus BioSciences	17.6
CHRW	C.H. Robinson	86.43
CHS	Chico''s FAS	2.23
CHT	Chunghwa Telecom	39.1
CHTR	Charter Communications	599.02
CHU	China Unicom	0.41
CHUC	Charlie''s Holdings	0.01
CHUY	Chuy''s Holdings	35.54
CHWY	Chewy	101.44
CHX	ChampionX	15.25
CHYHY	Chr. Hansen Holding	22.98
CI	Cigna	216.8
CIA	Citizens	5.95
CIB	Bancolombia	35.87
CIDM	Cinedigm	1.39
CIEN	Ciena Corporation	54.86
CIG	Companhia Energetica de Minas Gerais	2.61
CIGI	Colliers International Group	91.84
CIH	China Index Holdings	2.14
CIIC	CIIG Merger	28.96
CIIT	Tianci International	2.02
CIM	Chimera Investment	10.34
CINF	Cincinnati Financial	87.41
CINR	Ciner Resources	13
CIO	City Office REIT	9.6
CIOXY	Cielo	0.73
CIR	CIRCOR International	32.43
CIT	CIT Group	37.9
CIVB	Civista Bancshares	18.32
CIX	CompX International	13.79
CIXX	CI Financial	12.9
CIZN	Citizens Holding Company	20.35
CJJD	China Jo-Jo Drugstores	1.1
CKH	SEACOR Holdings	42.11
CKPT	Checkpoint Therapeutics	3.28
CKX	CKX Lands	10.36
CL	Colgate-Palmolive	78.52
CLA	Colonnade Acquisition	12.27
CLAR	Clarus Corporation	16.74
CLB	Core Laboratories	33.89
CLBK	Columbia Financial	15.48
CLBS	Caladrius Biosciences	2.08
CLCN	Creative Learning	0.19
CLCS	Cell Source	1.95
CLCT	Collectors Universe	91.55
CLDB	Cortland Bancorp	18.25
CLDR	Cloudera	16.18
CLDT	Chatham Lodging Trust	11.01
CLDX	Celldex Therapeutics	21.52
CLEU	China Liberal Education Holdings	3.69
CLF	Cleveland-Cliffs	15.68
CLFD	Clearfield	33.53
CLGN	CollPlant Biotechnologies	18
CLGX	CoreLogic	76.18
CLH	Clean Harbors	79.38
CLI	Mack-Cali Realty	12.63
CLII	Climate Change Crisis Real Impact I	20.97
CLIR	ClearSign Technologies	3.99
CLLS	Cellectis	28.44
CLMT	Calumet Specialty Products	3.67
CLNC	Colony Credit Real Estate	8.08
CLNE	Clean Energy Fuels	10.57
CLNN	Clene	6.55
CLNY	Colony Capital	5.02
CLPR	Clipper Realty	7.14
CLPS	CLPS Inc.	3.5
CLPT	ClearPoint Neuro	23.64
CLR	Continental Resources	19.67
CLRB	Cellectar BioSciences	1.99
CLRO	ClearOne	2.92
CLS	Celestica	8.1
CLSD	Clearside Biomedical	3.07
CLSK	Cleanspark	25.08
CLSN	Celsion	1.45
CLUBQ	Town Sports International	0.25
CLVR	Clever Leaves	9.03
CLVS	Clovis Oncology	8.46
CLW	Clearwater Paper	39.43
CLWT	Euro Tech Holdings	4.56
CLWY	Calloway''s Nursery	10.45
CLX	Clorox	210.02
CLXT	Calyxt	10.52
CM	Canadian Imperial Bank of Commerce	84.89
CMA	Comerica	58.17
CMBM	Cambium Networks	38.2
CMC	Commercial Metals Company	20.13
CMCL	Caledonia Mining	15.29
CMCM	Cheetah Mobile	2.19
CMCO	Columbus McKinnon	45.44
CMCSA	Comcast	50.15
CMCT	CIM Commercial Trust	13.83
CMD	Cantel Medical	78.53
CME	CME Group	187.44
CMG	Chipotle Mexican Grill	1509.02
CMI	Cummins	232.97
CMLF	CM Life Sciences	12.73
CMLS	Cumulus Media	8.6
CMO	Capstead Mortgage	5.41
CMP	Compass Minerals	59.64
CMPGF	Compass Group	18.17
CMPI	Checkmate Pharmaceuticals	16.1
CMPR	Cimpress	92.05
CMPS	COMPASS Pathways	42.5
CMRE	Costamare	8.43
CMRX	Chimerix	8.88
CMS	CMS Energy	57.18
CMT	Core Molding Technologies	12.4
CMTL	Comtech Telecommunications	22.22
CMTV	Community Bancorp	15
CMXC	Cell MedX	0.31
CNA	CNA Financial	38.87
CNBKA	Century Bancorp	82.16
CNC	Centene	59.6
CNCE	Concert Pharmaceuticals	7.51
CND	Concord Acquisition	10.12
CNDT	Conduent	5
CNET	ZW Data Action Technologies	2.45
CNF	CNFinance Holdings	3.18
CNFR	Conifer Holdings	3.17
CNHI	CNH Industrial	13.12
CNI	Canadian National Railway	102.42
CNK	Cinemark Holdings	20.45
CNMD	CONMED Corporation	112.02
CNNB	Cincinnati Bancorp	12
CNNE	Cannae Holdings	38.96
CNNWF	Cineworld Group	1.11
CNO	CNO Financial Group	21.59
CNOB	ConnectOne Bancorp	21.83
CNP	CenterPoint Energy	21.24
CNQ	Canadian Natural Resources	22.97
CNR	Cornerstone Building Brands	11.86
CNS	Cohen & Steers	67.94
CNSL	Consolidated Communications Holdings	5.78
CNSP	CNS Pharmaceuticals	1.8
CNST	Constellation Pharmaceuticals	31.87
CNTFY	China Techfaith Wireless	0.16
CNTG	Centogene	11
CNTY	Century Casinos	7.04
CNX	CNX Resources	12.8
CNXC	Concentrix	110.72
CNXN	PC Connection	48.82
CO	Global Cord Blood	4
COCP	Cocrystal Pharma	1.79
CODA	Coda Octopus Group	6.96
CODI	Compass Diversified Holdings	20.51
CODX	Co-Diagnostics	14.25
COE	China Online Education Group	23.69
COF	Capital One Financial	102.86
COFS	ChoiceOne Financial Services	25.03
COG	Cabot Oil & Gas	18.61
COGT	Cogent Biosciences	9.1
COHN	Cohen & Company	18.05
COHR	Coherent	201.5
COHU	Cohu, Inc.	42.12
COKE	Coca-Cola Consolidated	268.82
COLB	Columbia Banking System	39.72
COLD	Americold Realty Trust	36.03
COLL	Collegium Pharmaceutical	23.04
COLM	Columbia Sportswear	90.96
COMM	CommScope	15.39
COMS	ComSovereign Holding	4.44
CONE	CyrusOne	76.09
CONN	Conn''s	15.71
CONX	CONX Corp.	10.4
COO	Cooper Companies	365.11
COOL	Corner Growth Acquisition	0.91
COOP	Mr. Cooper Group	27.5
COP	ConocoPhillips	40.71
COR	CoreSite Realty	138.91
CORE	Core-Mark	30.67
CORR	CorEnergy Infrastructure Trust	8.79
CORT	Corcept Therapeutics	29.29
COST	Costco	350.52
COTY	Coty Inc.	6.56
COUP	Coupa Software	317.8
COWN	Cowen Inc.	26.15
CP	Canadian Pacific Railway	337.66
CPA	Copa Holdings	77.75
CPAC	Cementos Pacasmayo	7.75
CPAH	CounterPath	3.41
CPB	Campbell Soup	48.03
CPE	Callon Petroleum	14.25
CPF	Central Pacific Financial	20.76
CPG	Crescent Point Energy	3
CPHC	Canterbury Park Holding	13.3
CPHI	China Pharma Holdings	0.75
CPIX	Cumberland Pharmaceuticals	3.23
CPK	Chesapeake Utilities	101.97
CPLG	CorePoint Lodging	6.83
CPLP	Capital Product Partners	9.15
CPRI	Capri Holdings	41.65
CPRT	Copart	110.86
CPRX	Catalyst Pharmaceuticals	3.88
CPS	Cooper-Standard Holdings	33.47
CPSH	CPS Technologies	7.28
CPSI	Computer Programs & Systems	31.17
CPSR	Capstar Special Purpose Acquisition	10.43
CPSS	Consumer Portfolio Services	4.05
CPST	Capstone Turbine	11.05
CPT	Camden Property Trust	104.89
CPTA	Capitala Finance	15.01
CPTP	Capital Properties	12.1
CQP	Cheniere Energy Partners	39.28
CR	Crane Co.	78.56
CRAI	CRA International	54.66
CRBO	Carbon Energy	0.0
CRBP	Corbus Pharmaceuticals	2.23
CRC	California Resources	22.58
CRD.A	Crawford & Company	7.9
CRD.B	Crawford & Company	8.02
CRDF	Cardiff Oncology	11.8
CREE	Cree, Inc.	114.14
CREG	China Recycling Energy	7.35
CRESY	Cresud	5.19
CREX	Creative Realities	1.68
CRGS	CurAegis Technologies	0.03
CRH	CRH Plc	42.64
CRHC	Cohn Robbins Holdings	10.75
CRHM	CRH Medical	2.18
CRI	Carter''s	90.47
CRIS	Curis, Inc.	10.34
CRK	Comstock Resources	4.78
CRL	Charles River Laboratories	266
CRM	Salesforce.com	228.46
CRMD	CorMedix	8.9
CRMT	America''s Car-Mart	118.81
CRMZ	CreditRiskMonitor.com, Inc	2.4
CRNC	Cerence	115.85
CRNT	Ceragon Networks	4.56
CRNX	Crinetics Pharmaceuticals	14.07
CRON	Cronos Group	10.2
CROX	Crocs	72.77
CRS	Carpenter Technology	31.25
CRSA	Crescent Acquisition	10.38
CRSP	CRISPR Therapeutics	165.68
CRSR	Corsair Gaming	37.27
CRT	Cross Timbers Royalty Trust	7.58
CRTD	Creatd	3.92
CRTO	Criteo	19.83
CRTX	Cortexyme	36.66
CRU	Crucible Acquisition	10.65
CRUS	Cirrus Logic	97.86
CRVL	CorVel	100.67
CRVS	Corvus Pharmaceuticals	3.85
CRVW	CareView Communications	0.09
CRWD	CrowdStrike	215.01
CRWS	Crown Crafts	7.7
CRXM	Gene Biotherapeutics	0.04
CRY	CryoLife	24.68
CS	Credit Suisse Group	13.21
CSBB	CSB Bancorp	38
CSBR	Champions Oncology	11.28
CSCO	Cisco Systems	45.4
CSCW	Color Star Technology	0.84
CSGP	CoStar Group	925
CSGS	CSG Systems International	43.83
CSII	Cardiovascular Systems	43.56
CSIQ	Canadian Solar	55.85
CSL	Carlisle Companies	145.88
CSLT	Castlight Health	1.76
CSOD	Cornerstone OnDemand	42.6
CSPI	CSP Inc.	10.13
CSPR	Casper Sleep	7.9
CSR	Centerspace	71.53
CSSE	Chicken Soup for the Soul	25.06
CSTE	Caesarstone	12.84
CSTL	Castle Biosciences	70.38
CSTM	Constellium	13.32
CSTR	CapStar Financial Holdings	14.82
CSU	Capital Senior Living	27.55
CSV	Carriage Services	33.28
CSWC	Capital Southwest	18.4
CSWI	CSW Industrials	121.33
CSX	CSX Corporation	87.05
CTAC	Cerberus Telecom Acquisition	10.52
CTAS	Cintas	325.49
CTB	Cooper Tire & Rubber	37.45
CTBI	Community Trust Bancorp	36.91
CTEK	CynergisTek	2.09
CTG	Computer Task Group	6.34
CTHR	Charles & Colvard	1.79
CTIB	Yunhong CTI	1.98
CTIC	CTI BioPharma	3.34
CTK	CooTek (Cayman) Inc.	2.82
CTL	CenturyLink	1.61
CTLT	Catalent	117.49
CTMX	CytomX Therapeutics	7.57
CTO	Consolidated-Tomoka Land Co.	0.0
CTRA	Contura Energy	11.63
CTRE	CareTrust REIT	23.28
CTRM	Castor Maritime	0.71
CTRN	Citi Trends	58.25
CTS	CTS Corporation	31.48
CTSH	Cognizant	78.84
CTSO	CytoSorbents	10.73
CTT	CatchMark Timber Trust	9.28
CTVA	Corteva	40.71
CTXR	Citius Pharmaceuticals	1.17
CTXS	Citrix Systems	132.51
CUB	Cubic Corporation	61.12
CUBE	CubeSmart	35.57
CUBI	Customers Bancorp	22.68
CUE	Cue Biopharma	14.46
CUI	CUI Global	0.04
CUK	Carnival	16.25
CULP	Culp, Inc.	15.75
CURI	CuriosityStream	17.81
CURLF	Curaleaf Holdings	14.16
CURO	CURO Group Holdings	17.51
CURR	CURE Pharmaceutical	1.33
CUTR	Cutera	24.16
CUZ	Cousins Properties	32.55
CVA	Covanta Holding	14.9
CVAC	CureVac	94.55
CVBF	CVB Financial	19.76
CVCO	Cavco Industries	194
CVCY	Central Valley Community Bancorp	18.02
CVE	Cenovus Energy	6.22
CVEO	Civeo Corporation	14.09
CVET	Covetrus	34.67
CVGI	Commercial Vehicle Group	8.35
CVGW	Calavo Growers	77.08
CVI	CVR Energy	16.94
CVLB	Conversion Labs	23.75
CVLG	Covenant Logistics	15.6
CVLT	Commvault Systems	64.48
CVLY	Codorus Valley Bancorp	15.4
CVM	Cel-Sci Corporation	27.64
CVNA	Carvana	264.24
CVR	Chicago Rivet & Machine Co.	26
CVS	CVS Health	71.46
CVSI	CV Sciences	0.56
CVU	CPI Aerostructures	3.88
CVV	CVD Equipment	5.05
CVX	Chevron	86.41
CW	Curtiss-Wright	107.98
CWBC	Community West Bancshares	8.91
CWBHF	Charlotte''s Web Holdings	4.06
CWBR	CohBar	1.65
CWCO	Consolidated Water	12.5
CWEN	Clearway Energy	31.25
CWEN.A	Clearway Energy	29.11
CWGL	Crimson Wine Group	5.88
CWH	Camping World Holdings	34.4
CWK	Cushman & Wakefield	14.66
CWST	Casella Waste Systems	57.67
CWT	California Water Service Group	55.2
CX	CEMEX SAB de CV	5.97
CXDC	China XD Plastics	1.1
CXDO	Crexendo	6.95
CXO	Concho Resources	0.35
CXP	Columbia Property Trust	13.55
CXRXF	Advanz Pharma	16.4
CXW	CoreCivic	7.23
CYAD	Celyad	8.01
CYAN	Cyanotech	3.8
CYBE	CyberOptics	24.94
CYBR	CyberArk Software	163.68
CYCC	Cyclacel Pharmaceuticals	7.35
CYCN	Cyclerion Therapeutics	3.23
CYD	China Yuchai International	16.05
CYDY	CytoDyn	7.15
CYH	Community Health Systems	9.52
CYRN	Cyren Ltd.	1.05
CYRX	CryoPort	68.49
CYTH	Cyclo Therapeutics	6.75
CYTK	Cytokinetics	20.19
CYTR	CytRx Corporation	2.09
CZFS	Citizens Financial Services	57
CZNC	Citizens & Northern	19.41
CZR	Caesars Entertainment	70.8
CZWI	Citizens Community Bancorp	11.05
CZZ	Cosan	17.69
D	Dominion Energy	72.68
DAC	Danaos	28.09
DADA	Dada Nexus	43.67
DAIO	Data I/O	5.35
DAKT	Daktronics	4.99
DAL	Delta Air Lines	37.82
DAN	Dana Incorporated	19.88
DAO	Youdao	35.68
DAR	Darling Ingredients	65.13
DARE	Dare Bioscience	2.27
DASH	DoorDash	191.17
DAVA	Endava	81.86
DB	Deutsche Bank	10.37
DBD	Diebold Nixdorf	14.6
DBDR	Roman DBDR Tech Acquisition	10.42
DBI	Designer Brands	12.2
DBVT	DBV Technologies	5.51
DBX	Dropbox	22.89
DCBO	Docebo	52.87
DCI	Donaldson Company	60.39
DCMYY	NTT Docomo	36.31
DCO	Ducommun	50.58
DCOM	Dime Community Bancshares	25.41
DCP	DCP Midstream	20.38
DCPH	Deciphera Pharmaceuticals	45.86
DCRB	Decarbonization Plus Acquisition	13.1
DCT	Duck Creek Technologies	52.13
DCTH	Delcath Systems	16.91
DD	DuPont	73.14
DDAIF	Daimler AG	70.45
DDD	3D Systems	38.91
DDDX	3DX Industries	0.11
DDOG	Datadog	101.79
DDS	Dillard''s	87.31
DE	Deere & Company	292.21
DEA	Easterly Government Properties	22.31
DECK	Deckers Outdoor	299.34
DEH	D8 Holdings	10.27
DEI	Douglas Emmett	27.98
DELL	Dell Technologies	73.95
DEN	Denbury	30.08
DENN	Denny''s	15.95
DEO	Diageo	160.68
DESP	Despegar.com	11.1
DFFN	Diffusion Pharmaceuticals	1.09
DFHT	Deerfield Healthcare Technology Acquisitions	13.75
DFIN	Donnelley Financial Solutions	18.85
DFNS	LGL Systems Acquisition	10.57
DFODQ	Dean Foods	0.06
DFPH	DFP Healthcare Acquisitions	10.7
DFS	Discover Financial Services	82.19
DG	Dollar General	192.75
DGICA	Donegal Group	13.7
DGICB	Donegal Group	11.94
DGII	Digi International	19.53
DGLY	Digital Ally	2.59
DGNR	Dragoneer Growth Opportunities	13.79
DGNS	Dragoneer Growth Opportunities II	12.55
DGX	Quest Diagnostics	133.34
DHC	Diversified Healthcare Trust	4.31
DHCC	Diamondhead Casino	0.22
DHI	D.R. Horton	77.09
DHIL	Diamond Hill Investment Group	149.08
DHR	Danaher	241.75
DHT	DHT Holdings	5.38
DHX	DHI Group	2.46
DIIBF	Dorel Industries	12.24
DIN	Dine Brands Global	71.31
DIOD	Diodes Incorporated	74.07
DIS	Disney	170.97
DISCA	Discovery	42.12
DISCB	Discovery	43.5
DISCK	Discovery	35
DISH	DISH Network	29.45
DIT	AMCON Distributing	116.84
DJCO	Daily Journal	334
DK	Delek US Holdings	18.83
DKL	Delek Logistics Partners	36.49
DKNG	DraftKings	54.64
DKS	Dick''s Sporting Goods	68.67
DL	China Distance Education	9.6
DLA	Delta Apparel	22
DLAKY	Deutsche Lufthansa AG	12.96
DLB	Dolby Laboratories	89.39
DLGNF	Dialog Semiconductor	63.43
DLHC	DLH Holdings	10.83
DLNG	Dynagas LNG Partners	2.7
DLPN	Dolphin Entertainment	3.83
DLR	Digital Realty Trust	148.21
DLTH	Duluth Holdings	12.62
DLTR	Dollar Tree	100.86
DLX	Deluxe Corporation	35.26
DLYT	Dais Corporation	0.27
DM	Desktop Metal	23.95
DMAC	DiaMedica Therapeutics	8.22
DMLP	Dorchester Minerals	12.55
DMRC	Digimarc	40.54
DMS	Digital Media Solutions	10.29
DMTK	DermTech	42.95
DMYD	dMY Technology Group II	21.43
DNB	Dun & Bradstreet	24.55
DNK	Phoenix Tree Holdings	2.71
DNLI	Denali Therapeutics	69.73
DNN	Denison Mines	0.74
DNOW	NOW Inc.	8.32
DOC	Physicians Realty Trust	18.07
DOCU	DocuSign	230.14
DOFSQ	Diamond Offshore Drilling	0.21
DOGZ	Dogness International	1.88
DOMO	Domo, Inc.	66.13
DOOO	BRP Inc.	68.2
DOOR	Masonite International	103.59
DORM	Dorman Products	93.52
DOV	Dover	117.58
DOW	Dow Inc	52.75
DOX	Amdocs	72.49
DOYU	DouYu	13.5
DPW	DPW Holdings	4.58
DPZ	Domino''s Pizza	371.42
DQ	Daqo New Energy	103.41
DRD	DRDGOLD Limited	10.53
DRE	Duke Realty	40.69
DRH	DiamondRock Hospitality	8.28
DRI	Darden Restaurants	119.36
DRIO	DarioHealth	24.48
DRNA	Dicerna Pharmaceuticals	22.81
DRQ	Dril-Quip	30.46
DRRX	DURECT Corporation	2.1
DRTT	DIRTT Environmental Solutions	2.33
DS	Drive Shack	2.44
DSAC	Duddell Street Acquisition	10.15
DSGX	Descartes Systems Group	62.83
DSKE	Daseke	5.01
DSNY	Destiny Media Technologies	1.35
DSPG	DSP Group	16.26
DSS	Document Security Systems	4.1
