Symbol	Name	Price
AINC	Ashford	7.19
AINV	Apollo Investment	12.26
AIR	AAR Corp.	34.53
AIRC	Apartment Income REIT	40.16
AIRG	Airgain	23.91
AIRI	Air Industries Group	1.44
AIRO	Airspan Networks	10
AIRT	Air T	25.58
AIT	Applied Industrial Technologies	71.99
AIV	Aimco	4.72
AIZ	Assurant	134.49
AJAX	Ajax I	12.1
AJG	Arthur J. Gallagher	115.19
AJRD	Aerojet Rocketdyne	52.56
AJX	Great Ajax	9.96
AKAM	Akamai Technologies	111.65
AKBA	Akebia Therapeutics	3.41
AKER	Akers Biosciences	2.63
AKO.A	Embotelladora Andina	13.75
AKO.B	Embotelladora Andina	15.71
AKOM	Aerkomm	12
AKR	Acadia Realty Trust	14.51
AKRO	Akero Therapeutics	29.84
AKTS	Akoustis Technologies	16.1
AKTX	Akari Therapeutics	2.6
AKU	Akumin	3.15
AKUS	Akouos	15.82
AL	Air Lease Corporation	40.47
ALAC	Alberton Acquisition	13.4
ALB	Albemarle	166.37
ALBO	Albireo Pharma	39.05
ALC	Alcon	72.84
ALCO	Alico, Inc.	29.7
ALDX	Aldeyra Therapeutics	11.05
ALE	ALLETE, Inc.	63.97
ALEAF	Aleafia Health	0.56
ALEC	Alector	18
ALEX	Alexander & Baldwin	15.52
ALG	Alamo Group	142.73
ALGM	Allegro MicroSystems	30.36
ALGN	Align Technology	543.05
ALGS	Aligos Therapeutics	27.67
ALGT	Allegiant Travel	183.92
ALIM	Alimera Sciences	6.88
ALJJ	ALJ Regional Holdings	1.25
ALK	Alaska Air Group	49.89
ALKS	Alkermes	21.77
ALL	Allstate	108.71
ALLE	Allegion	110.32
ALLK	Allakos	135.24
ALLO	Allogene Therapeutics	35.61
ALLT	Allot Ltd.	12.92
ALLY	Ally Financial	38.6
ALNA	Allena Pharmaceuticals	1.67
ALNY	Alnylam Pharmaceuticals	149.25
ALO	Alio Gold	45.99
ALOT	AstroNova	11
ALPN	Alpine Immune Sciences	11.64
ALPP	Alpine 4 Technologies	3.75
ALRM	Alarm.com	95.56
ALRN	Aileron Therapeutics	1.89
ALRS	Alerus Financial	25.81
ALSK	Alaska Communications Systems	3.27
ALSN	Allison Transmission Holdings	41.25
ALT	Altimmune	16.71
ALTA	Altabancorp	33.18
ALTD	Altitude International	0.3
ALTG	Alta Equipment Group	9.87
ALTM	Altus Midstream	51.66
ALTR	Altair Engineering	59.15
ALUS	Alussa Energy Acquisition	12.65
ALV	Autoliv	90.66
ALVR	AlloVir	36.8
ALX	Alexander''s	270.02
ALXN	Alexion Pharmaceuticals	155.7
ALXO	ALX Oncology Holdings	81.01
ALYA	Alithya Group	3.21
AM	Antero Midstream	8
AMAG	AMAG Pharmaceuticals	222
AMAL	Amalgamated Bank	14.5
AMAT	Applied Materials	101.21
AMBA	Ambarella	105.16
AMBC	Ambac Financial Group	14.23
AMBO	Ambow Education Holding	2.6
AMC	AMC Entertainment	13.3
AMCI	AMCI Acquisition	17.06
AMCR	Amcor	10.89
AMCX	AMC Networks	51.67
AMD	Advanced Micro Devices	87.66
AME	AMETEK, Inc.	114.88
AMED	Amedisys	287.18
AMEH	Apollo Medical Holdings	23.6
AMG	Affiliated Managers Group	113.5
AMGN	Amgen	240.43
AMH	American Homes 4 Rent	31.39
AMHC	Amplitude Healthcare Acquisition	10.16
AMHG	Amergent Hospitality Group	0.64
AMK	AssetMark Financial	22.95
AMKR	Amkor Technology	16.58
AMN	AMN Healthcare Services	74.37
AMNB	American National Bankshares	28.21
AMOT	Allied Motion Technologies	45.78
AMOV	America Movil	13.53
AMP	Ameriprise Financial	200.84
AMPE	Ampio Pharmaceuticals	1.8
AMPH	Amphastar Pharmaceuticals	18.46
AMPY	Amplify Energy	1.87
AMRB	American River Bankshares	13
AMRC	Ameresco	59.26
AMRK	A-Mark Precious Metals	33.41
AMRN	Amarin	8.08
AMRS	Amyris	9.57
AMRX	Amneal Pharmaceuticals	4.94
AMS	American Shared Hospital Services	2.55
AMSC	American Superconductor	25.53
AMSF	AMERISAFE, Inc.	55.07
AMST	Amesite	5.17
AMSWA	American Software	19.17
AMT	American Tower	235.57
AMTB	Amerant Bancorp	14.57
AMTBB	Amerant Bancorp	12.43
AMTI	Applied Molecular Transport	35.62
AMTX	Aemetis	7.87
AMTY	Amerityre	0.03
AMWD	American Woodmark	88.06
AMWL	Amwell	34.07
AMX	America Movil	13.29
AMYT	Amryt Pharma	13.4
AMZN	Amazon	3342.88
AN	AutoNation	74.6
ANAB	AnaptysBio	25.94
ANAT	American National Insurance	89.77
ANCN	Anchiano Therapeutics	2.29
ANDA	Andina Acquisition III	11.46
ANDE	Andersons	23.51
ANDR	Andrea Electronics	0.04
ANET	Arista Networks	316.2
ANF	Abercrombie & Fitch	23.01
ANFC	Black Ridge Oil & Gas	0
ANFIF	Amira Nature Foods	1.84
ANGI	ANGI Homeservices	14
ANGO	AngioDynamics	18.92
ANH	Anworth Mortgage Asset	2.53
ANIK	Anika Therapeutics	36.76
ANIP	ANI Pharmaceuticals	29.96
ANIX	Anixa Biosciences	4.11
ANNX	Annexon Biosciences	22.01
ANPC	AnPac Bio-Medical Science	5.63
ANSS	ANSYS, Inc.	367.94
ANTE	AirNet Technology	2.53
ANTH	Anthera Pharmaceuticals	0.05
ANTM	Anthem	292.56
ANVS	Annovis Bio	10.25
ANXGF	Anaconda Mining	0.44
ANY	Sphere 3D	2.18
AOLS	Aeolus Pharmaceuticals	0.01
AON	Aon plc	206.68
AONE	One	10.72
AOS	A. O. Smith	56.03
AOSL	Alpha & Omega Semiconductor	31.17
AOUT	American Outdoor Brands	19.59
AOXG	Aoxing Pharmaceutical	0.01
AP	Ampco-Pittsburgh	6.66
APA	Apache	15.12
APAM	Artisan Partners Asset Management	49.94
APD	Air Products & Chemicals	268.95
APDN	Applied DNA Sciences	11.92
APEI	American Public Education	29.26
APEN	Apollo Endosurgery	4.2
APEX	APEX Global Brands	2.05
APG	APi Group	18.52
APH	Amphenol	125.63
APHA	Aphria	12.5
API	Agora	73.6
APLE	Apple Hospitality REIT	12.78
APLS	Apellis Pharmaceuticals	44.2
APLT	Applied Therapeutics	25.41
APM	Aptorum Group	3.32
APO	Apollo Global Management	47.64
APOG	Apogee Enterprises	35.49
APOP	Cellect Biotechnology	3.12
APPF	AppFolio	156.09
